,algoritmo,train_method,normalizacao,selecao_feat,dataset_treino,dataset_test,acuracia,precisao,recall,f1
62,Gaussian Naive Bayes,Grid Search 3 folds,-,Mutual information 40,appliences_05_05_05-90-trains.csv,appliences_05_05_05-92-test.csv,0.8217727272727273,1.0,0.6435454545454545,0.7831185353172188
63,Gaussian Naive Bayes,Grid Search 3 folds,-,Mutual information 40,appliences_05_05_05-90-trains.csv,appliences_05_05_05-93-test.csv,0.8216818181818182,1.0,0.6433636363636364,0.7829839021961609
64,Gaussian Naive Bayes,Grid Search 3 folds,-,Mutual information 40,appliences_05_05_05-90-trains.csv,appliences_05_05_05-94-test.csv,0.8202727272727273,1.0,0.6405454545454545,0.7808932727474233
65,Gaussian Naive Bayes,Holdout,-,Mutual information 40,appliences_05_05_05-90-trains.csv,appliences_05_05_05-90-test.csv,0.8224545454545454,1.0,0.6449090909090909,0.7841273350281861
66,Gaussian Naive Bayes,Holdout,-,Mutual information 40,appliences_05_05_05-90-trains.csv,appliences_05_05_05-91-test.csv,0.8209090909090909,1.0,0.6418181818181818,0.7818383167220376
67,Gaussian Naive Bayes,Holdout,-,Mutual information 40,appliences_05_05_05-90-trains.csv,appliences_05_05_05-92-test.csv,0.8217727272727273,1.0,0.6435454545454545,0.7831185353172188
68,Gaussian Naive Bayes,Holdout,-,Mutual information 40,appliences_05_05_05-90-trains.csv,appliences_05_05_05-93-test.csv,0.8216818181818182,1.0,0.6433636363636364,0.7829839021961609
69,Gaussian Naive Bayes,Holdout,-,Mutual information 40,appliences_05_05_05-90-trains.csv,appliences_05_05_05-94-test.csv,0.8202727272727273,1.0,0.6405454545454545,0.7808932727474233
70,Gaussian Naive Bayes,Grid Search 3 folds,-,Importance 40,appliences_05_05_05-90-trains.csv,appliences_05_05_05-90-test.csv,0.8224545454545454,1.0,0.6449090909090909,0.7841273350281861
71,Gaussian Naive Bayes,Grid Search 3 folds,-,Importance 40,appliences_05_05_05-90-trains.csv,appliences_05_05_05-91-test.csv,0.8209090909090909,1.0,0.6418181818181818,0.7818383167220376
72,Gaussian Naive Bayes,Grid Search 3 folds,-,Importance 40,appliences_05_05_05-90-trains.csv,appliences_05_05_05-92-test.csv,0.8217727272727273,1.0,0.6435454545454545,0.7831185353172188
